 ;2015;2014;2013;2012;2011;2010;;;;;;;;;;;;;
TOTAL RESIDUOS MEZCLADOS;17.753.549;17.530.077;17.852.826;18.315.103;18.773.628;19.395.265;;;;;;;;;;;;;
TOTAL RESIDUOS DE RECOGIDA SEPARADA;3.892.745;3.798.230;3.932.859;4.080.708;4.508.351;4.984.758;;;;;;;;;;;;;
TOTAL RESIDUOS;21.646.294;21.328.307;21.785.685;22.395.811;23.281.979;24.380.023;;;;;;;;;;;;;


2015;Total;Residuos mezclados;Residuos de papel y cartón;Residuos de vidrio;Envases mixtos y embalajes mezclados;;;;2015;Total;R;G;B;;;;;;
Madrid, Comunidad de;363,8;309,2;13,5;12,3;19,3;;;1º;Madrid, Comunidad de;363,8;255;204;204;;;;;;
Rioja, La;405,7;339,1;24,3;24,1;15;;;2º;La Rioja;405,7;255;108;108;;;;;;
Galicia;419,4;345,1;12;14,6;8,1;;;3º;Galicia;419,4;255;79;79;;;;;;
Aragón;427,9;346,3;17;13,4;12,4;;;4º;Aragón;427,9;255;73;73;;;;;;204
Castilla y León;433,2;377,9;17,6;16,6;8,5;;;5º;Castilla y León;433,2;255;66;66;;;;;;108
País Vasco;437,4;308,9;54,5;27,3;17,7;;;6º;País Vasco;437,4;255;55;55;;;;;;79
Comunitat Valenciana;443,6;387,4;11;16,4;8,5;;;7º;Comunitat Valenciana;443,6;255;48;48;;;;;;73
Castilla - La Mancha;457;420,1;11,9;10;9;;;8º;Castilla - La Mancha;457;255;48;48;;;;;;66
Extremadura;457,9;376,8;36,9;7,4;9,9;;;9º;Extremadura;457,9;255;47;47;;;;;;55
Murcia, Región de;464,5;410,3;9,4;16;9,2;;;10º;Murcia, Región de;464,5;255;44;44;;;;;;48
Navarra, Comunidad Foral de;465,6;254;23,1;15,2;18,5;;;11º;Navarra, Comunidad Foral de;465,6;255;44;44;;;;;;48
Total nacional;466,4;382,5;21,7;16,3;12,8;;;12º;Total nacional;466,4;255;37;37;;;;;;47
Cataluña;480,7;321,4;40,3;21,5;17,5;;;13º;Cataluña;480,7;255;34;34;;;;;;44
Andalucía;504,6;444,7;12;2,1;1,2;;;14º;Andalucía;504,6;255;32;32;;;;;;44
Asturias, Principado de;519,4;387,1;53,9;31,8;10;;;15º;Asturias, Principado de;519,4;255;30;30;;;;;;37
Cantabria;532,6;446,3;16,5;18,8;9;;;16º;Cantabria;532,6;255;26;26;;;;;;34
Canarias;594,1;538,1;14,8;15,6;8;;;17º;Canarias;594,1;255;20;20;;;;;;32
Balears, Illes;800,6;678,7;35,6;30,4;17,3;;;18º;Balears, Illes;800,6;255;0;0;;;;;;30
Ceuta y Melilla;..;..;..;..;..;;;;;;;;;;;;;;26
;;;;;;;;;;;;;;;;;;;20
;;;;;;;;;;;;;;;;;;;0
CCAA;Mezclados;Papel;Vidrio;Embases;;;;;;;;;;;;;;;
Madrid;309,2;13,5;12,3;19,3;;;;;;;;;;;;;;;
La Rioja;339,1;24,3;24,1;15;;;;;;461,2;;;;;;;;;
Galicia;345,1;12;14,6;8,1;;;;;;;;;;Madrid, Comunidad de;363,8;0;;;
Aragón;346,3;17;13,4;12,4;;;;;;;;;;Rioja, La;405,7;20
Castilla y León;377,9;17,6;16,6;8,5;;;;;;;;;;Galicia;419,4;26
Euskadi;308,9;54,5;27,3;17,7;;;;;;;;;;Aragón;427,9;30
Comunitat Valenciana;387,4;11;16,4;8,5;;;;;;;;;;Castilla y León;433,2;32
Castilla - La Mancha;420,1;11,9;10;9;;;;;;;;;;País Vasco;437,4;34
Extremadura;376,8;36,9;7,4;9,9;;;;;;;;;;Comunitat Valenciana;443,6;37
Murcia;410,3;9,4;16;9,2;;;;;;;;;;Castilla - La Mancha;457;44
Navarra;254;23,1;15,2;18,5;;;;;;;;;;Extremadura;457,9;44
España;382,5;21,7;16,3;12,8;;;;;;;;;;Murcia, Región de;464,5;47
Cataluña;321,4;40,3;21,5;17,5;;;;;;;;;;Navarra, Comunidad Foral de;465,6;48
Andalucía;444,7;12;2,1;1,2;;;;;;;;;;Total nacional;466,4;48
Asturias;387,1;53,9;31,8;10;;;;;;;;;;Cataluña;480,7;55
Cantabria;446,3;16,5;18,8;9;;;;;;;;;;Andalucía;504,6;66
Canarias;538,1;14,8;15,6;8;;;;;;;;;;Asturias, Principado de;519,4;73
Baleares;678,7;35,6;30,4;17,3;;;;;;;;;;Cantabria;532,6;79
;;;;;;;;;;;;;;Canarias;594,1;108
;;;;;;;;;;;;;;Balears, Illes;800,6;204
